Guten Morgen Herr Müller wie geht es Ihnen?|84.25
Guten Morgen Frau Schneider. Danke gut! Und Ihnen?|78.4
Guten Morgen Herr Müller wie geht es Ihnen?|84.25
Guten Morgen Frau Schneider. Danke gut! Und Ihnen?|78.4
Guten Tag Frau Kamp.|99.95
Guten Tag! Wie geht es Ihnen?|97.95
Sehr gut danke. Und Ihnen?|93.1
Hey Lena! Na wie geht's?|104.8
Hallo Opa!|90.25
Hallo Sarah. Wie geht's dir?|93.1
Hi Tom! Super danke. Und dir?|97.95
Oh schön!|119.5
Hm?|120.5
Die Tasche ist schön!|99.95
Entschuldigung? Schön?|31.75
Ja die Tasche!|100.95
Emma komm jetzt! Entschuldigung!|59.0
Adalbert-Stifter-Straße …|-26.76
Hallo!|62.0
Mist!|120.5
Ja ich bin gut angekommen …|86.25
Du kannst mir die Unterlagen für das Meeting im Hotel hinterlegen.|69.55
Cool! Noch mal!|118.5
Ins Zentrum bitte. Zum Königshof.|69.7
Ins Zentrum zum Königshof.|70.7
Ins Restaurant Königshof oder zum Hotel Königshof?|56.0
Hotel Königshof.|31.75
Okay kein Problem.|100.95
Hey Stopp!|119.5
Tschüss Martina. Gute Reise!|59.0
Mach’s gut Herbert. Bis bald!|104.8
Tschüss!|120.5
Auf Wiedersehen Herr Tillmanns. Gute Reise!|57.0
Danke schön! Auf Wiedersehen Frau Scholl.|74.55
Alles okay?|90.25
Brauchst du Hilfe?|100.95
Hilfe help? Do you need help?|103.8
Ja! Hilfe!|90.25
Wo ist die Tasche?|99.95
Die Tasche ist … äh… gone … in the ... Taxi!|88.1
Die Tasche ist weg in dem Taxi?|96.95
Wohin willst du?|100.95
Wohin? Willst du ins Zentrum?|93.1
Zentrum ja!|90.25
Yara.|62.0
Wer ist Yara?|100.95
Meine ... aunt?|61.0
Deine Tante?|61.0
Nicht schlecht!|119.5
Du willst zu deiner Tante? Zu Yara?|91.1
Hast du die Adresse?|99.95
Adresse: Straße Hausnummer?|42.45
Andel … Adelschiffstraße?|1.5
Die kenne ich nicht …|104.8
Komm wir helfen dir!|99.95
Yippie!|62.0
Emma!|62.0
Mein Name ist Emma!|88.25
Und das ist meine Tante.|93.1
Deine Mama?|61.0
Nein Lisa ist nicht meine Mama. Sie ist meine Tante.|87.25
Meine Mama fliegt nach Amerika. Sie arbeitet da.|70.7
Bitte!|62.0
Danke.|62.0
Nico.|62.0
Mein Name ist Nico.|88.25
Hallo Nico.|61.0
Hallo Emma.|61.0
Ich heiße Nico.|77.55
Hallo Nico.|61.0
Hallo.|62.0
Also: Hallo wie heißt du?|93.1
Hallo ich heiße Nico.|70.7
Und wie heißt du?|117.5
Ich heiße Lisa.|77.55
Nein du heißt Nico.|99.95
Das ist Emma. Emma spinnt gerade.|77.55
Ich … heiße …|99.95
Ey!|120.5
Emma!|62.0
Aber jetzt ist das „N“ weg!|115.5
Das war Nico!|100.95
Ich?|120.5
Moment bitte. Ich muss noch kurz tanken.|91.1
Taxi! Stopp!|90.25
Nico! Stopp!|90.25
Sag mal spinnst du?|117.5
Was ist denn?|118.5
Die Tasche! Oh oh …|104.8
Die Tasche? Welche Tasche? Warte Emma!|68.7
Die … Die Tasche in there!|97.95
Da ist keine Tasche.|88.25
Hallo ich bin Lisa Brunner Das ist Nico.|84.25
Nico sucht seine Tasche.|70.7
Und?|120.5
Ist Nicos Tasche in Ihrem Taxi?|74.55
Nicos Tasche? Nein. Die Tasche ist nicht im Taxi.|89.1
Nein. …|119.5
Wo?|120.5
Keine Ahnung wo deine Tasche ist. Hier ist die Tasche nicht.|86.75
Komm wir suchen die Tasche!|93.1
Suchen. Komm Nico!|77.55
Hallo Lisa!|61.0
Hallo Max wie geht es dir?|103.8
Super. Und dir?|100.95
Auch gut danke.|100.95
Hi Emma.|90.25
Hallo Max.|90.25
Und du? Wer bist du?|116.5
Ich bin Nico.|100.95
Hallo Nico.|61.0
Du kommst nicht aus Deutschland oder?|97.95
Entschuldigung?|-55.01
Ehm … Woher kommst du?|104.8
Ich bin Max und ich komme aus Deutschland.|90.1
